country,manager,appointed_date,tenure_days
Afghanistan,José Antonio Nogueira,2026-02-20,72.0
Australia,Tony Popovic,2024-09-26,584.0
Bahrain,Dragan Talajić,2024-02-20,803.0
Bhutan,Chencho Dorji,,
Brunei,Fabio Maciel,2025-07-24,283.0
Cambodia,Koji Gyotoku,2025-03-09,420.0
China,Shao Jiayi,2025-11-05,179.0
Chinese Taipei,Matt Ross,,
Guam,Ross Awa,2023-07-01,1037.0
Hong Kong,Roberto Losada (caretaker),2025-12-12,142.0
India,Khalid Jamil,2025-08-13,263.0
Indonesia,John Herdman,2026-01-03,120.0
Iran,Amir Ghalenoei,2023-03-13,1147.0
Iraq,Graham Arnold,2025-05-09,359.0
Japan,Hajime Moriyasu,2018-07-26,2838.0
Jordan,Jamal Sellami,,
Kuwait,Hélio Sousa,2025-07-31,276.0
Kyrgyzstan,Robert Prosinečki,2025-12-10,144.0
Laos,Vladica Grujic,,
Lebanon,Madjid Bougherra,2026-01-28,95.0
Macau,Emmanuel Noruega (caretaker),2026-01-01,122.0
Malaysia,Peter Cklamovski,2025-01-05,483.0
Maldives,István Urbányi,2026-01-07,116.0
Mongolia,Bayasgalangiin Garidmagnai,2024-08-28,613.0
Myanmar,Myo Hlaing Win,2024-09-09,601.0
Nepal,Guglielmo Arena,2026-03-08,56.0
North Korea,Sin Yong-nam,,
Northern Mariana Islands,Atsushi Hanita,2025-02-01,456.0
Oman,Tarik Sektioui,2026-03-22,42.0
Pakistan,Nolberto Solano,2025-07-21,286.0
Palestine,Ihab Abu Jazar,2024-12-03,516.0
Philippines,Carles Cuadrat,2025-07-24,283.0
Qatar,Julen Lopetegui,2025-05-01,367.0
Saudi Arabia,Georgios Donis,2026-04-23,10.0
Singapore,Gavin Lee,2025-06-24,313.0
South Korea,Hong Myung-bo,2024-07-08,664.0
Sri Lanka,Abdullah Al Mutairi,2024-11-04,545.0
Syria,José Lana,2024-08-22,619.0
Tajikistan,Igor Angelovski,2026-04-30,3.0
Thailand,Anthony Hudson,2025-10-22,193.0
Timor-Leste,Zé Pedro,2025-08-28,248.0
Turkmenistan,Rovshen Meredov,2025-05-26,342.0
United Arab Emirates,Cosmin Olăroiu,2025-04-19,379.0
Uzbekistan,Fabio Cannavaro,2025-10-06,209.0
Vietnam,Kim Sang-sik,2024-05-03,730.0
Yemen,Noureddine Ould Ali,2024-02-01,822.0
Algeria,Vladimir Petković,2024-02-29,794.0
Angola,Aliou Cissé,2026-04-08,25.0
Benin,Gernot Rohr,2023-02-28,1160.0
Botswana,Morena Ramoreboli,2025-01-23,465.0
Burkina Faso,Amir Abdou,2026-02-28,64.0
Burundi,Patrick Sangwa Mayani,2024-10-29,551.0
Cameroon,David Pagou,2025-12-01,153.0
Cape Verde,Bubista,2020-01-28,2287.0
Central African Republic,Rigobert Song,2025-01-13,475.0
Chad,Raoul Savoy,2025-08-01,275.0
Comoros,Hubert Velud,2026-03-07,57.0
Congo,Barthélémy Ngatsono,2025-06-27,310.0
DR Congo,Sébastien Desabre,2022-08-08,1364.0
Djibouti,Mohamed Meraneh Hassan (interim),2026-01-27,96.0
Egypt,Hossam Hassan,2022-07-12,1391.0
Equatorial Guinea,Juan Michá,2021-03-23,1867.0
Eritrea,Hesham Yakan,,
Ethiopia,Yohannes Sahle,2026-01-05,118.0
Gambia,Johnny McKinstry,,
Ghana,Carlos Queiroz,2026-04-13,20.0
Guinea,Paulo Duarte,2025-08-11,265.0
Guinea-Bissau,Emiliano Té,2025-08-01,275.0
Ivory Coast,Emerse Faé,2024-01-24,830.0
Kenya,Benni McCarthy,2025-03-03,426.0
Lesotho,Bob Atang Mafoso,2026-02-09,83.0
Liberia,Thomas Kojo,2024-10-21,559.0
Madagascar,Corentin Martins,2025-01-30,458.0
Malawi,Kalisto Pasuwa,2025-02-12,445.0
Mauritania,Aritz López Garai,2024-11-24,525.0
Mauritius,Guillaume Moullec,2023-04-20,1109.0
Morocco,Mohamed Ouahbi,2026-03-05,59.0
Mozambique,Chiquinho Conde,2021-10-27,1649.0
Namibia,Collin Benjamin,2022-06-15,1418.0
Niger,Ezzaki Badou,2023-11-15,900.0
Nigeria,Éric Chelle,2025-01-07,481.0
Réunion[b],Jean-Pierre Bade,,
Rwanda,Stephen Constantine,2026-03-12,52.0
São Tomé and Príncipe,Ricardo Monsanto,2024-03-01,793.0
Senegal,Pape Thiaw,2024-12-13,506.0
Seychelles,Ralph Jean-Louis,,
Sierra Leone,Mohamed Kallon,2025-02-28,429.0
Somalia,Yusuf Ali Nur,2025-03-12,417.0
South Africa,Hugo Broos,2021-05-05,1824.0
South Sudan,Cyprian Besong Ashu (interim),2026-03-12,52.0
Sudan,James Kwesi Appiah,2023-09-20,956.0
Tanzania,Miguel Ángel Gamondi,2025-11-04,180.0
Togo,Patrice Neveu,2026-02-19,73.0
Tunisia,Sabri Lamouchi,2026-01-14,109.0
Uganda,Paul Put,2023-11-02,913.0
Zambia,Moses Sichone,2025-11-06,178.0
Zimbabwe,Mario Marinică,2025-11-04,180.0
Anguilla,Keith Jeffrey,2024-01-01,853.0
Antigua and Barbuda,Jacques Passy,2025-04-04,394.0
Aruba,Marvic Bermúdez,2022-03-02,1523.0
Bahamas,Kevin Davies,,
Barbados,Kent Hall,2023-11-06,909.0
Belize,Daniel Bartolotta,2025-04-18,380.0
Bermuda,Michael Findlay,2023-08-11,996.0
Bonaire[a],Rilove Janga,,
British Virgin Islands,David Pérez,,
Canada,Jesse Marsch,2024-05-13,720.0
Cayman Islands,Colin Rowe (interim),2025-05-27,341.0
Costa Rica,Fernando Batista,2026-02-28,64.0
Cuba,Pedro Pereira,2025-11-03,181.0
Curaçao,Fred Rutten,2026-02-23,69.0
Dominica,Kurt Herd (interim),2026-01-19,104.0
Dominican Republic,Marcelo Neveleff,2023-01-23,1196.0
El Salvador,Hernán Darío Gómez,2025-02-24,433.0
French Guiana[a],Stéphane D'Urbano,2024-11-01,548.0
Grenada,Anthony Modeste,,
Guadeloupe[a],Jocelyn Angloma,2017-12-28,3048.0
Guatemala,Luis Fernando Tena,2021-12-09,1606.0
Guyana,Thomas Dooley,2025-08-01,275.0
Haiti,Sebastien Migne,2023-05-01,1098.0
Honduras,José Francisco Molina,2026-02-27,65.0
Martinique[a],Fabien Mercadal,2025-09-27,218.0
Mexico,Javier Aguirre,2024-07-22,650.0
Montserrat,Angus Eve,2025-05-30,338.0
Nicaragua,Juan Cruz Real,2026-04-24,9.0
Panama,Thomas Christiansen,2020-07-23,2110.0
Puerto Rico,Charlie Trout,2023-03-19,1141.0
Saint Kitts and Nevis,Marcelo Serrano,2026-02-06,86.0
Saint Lucia,Stern John,2022-05-22,1442.0
Saint Martin[a],Jean-Claude Darcheville,2025-05-22,346.0
Saint Vincent and the Grenadines,Ezra Hendrickson,2023-01-20,1199.0
Sint Maarten[a],Piet de Jong,,
Suriname,Henk ten Cate,2025-12-13,141.0
Trinidad and Tobago,Derek King (caretaker),2026-03-11,53.0
United States,Mauricio Pochettino,2024-09-10,600.0
U.S. Virgin Islands,Terrence Jones,2019-10-07,2400.0
Argentina,Lionel Scaloni,2018-08-03,2830.0
Bolivia,Óscar Villegas,2024-07-20,652.0
Brazil,Carlo Ancelotti,2025-05-26,342.0
Chile,Nicolás Córdova (interim),2025-07-04,303.0
Colombia,Néstor Lorenzo,2022-06-02,1431.0
Ecuador,Sebastián Beccacece,2024-08-02,639.0
Paraguay,Gustavo Alfaro,2024-08-16,625.0
Peru,Mano Menezes,2026-01-29,94.0
Uruguay,Marcelo Bielsa,2023-05-15,1084.0
Venezuela,Oswaldo Vizcarrondo,2026-01-20,103.0
American Samoa,Diego Gómez,2026-03-09,55.0
Cook Islands,Tuka Tisam,2024-04-01,762.0
Fiji,Stéphane Auvray,2025-10-20,195.0
Kiribati[c],Jake Kewley,,
New Caledonia,Johann Sidaner,,
New Zealand,Darren Bazeley,,
Papua New Guinea,David Muta,2025-11-01,183.0
Samoa,Jess Ibrom,,
Solomon Islands,Ben Cahn (interim),2026-03-21,43.0
Tahiti,Joël Fréchet,2025-12-25,129.0
Tuvalu[c],Osamesa Mesako,,
Vanuatu,Lars Hopp,2025-10-17,198.0
Albania,Sylvinho,2023-01-09,1210.0
Andorra,Koldo Álvarez,2010-02-02,5934.0
Armenia,Yegishe Melikyan,2025-08-06,270.0
Austria,Ralf Rangnick,2022-05-24,1440.0
Azerbaijan,Aykhan Abbasov (caretaker),,
Belarus,Viktor Goncharenko,2026-01-06,117.0
Belgium,Rudi Garcia,2025-01-24,464.0
Bosnia and Herzegovina,Sergej Barbarez,2024-04-19,744.0
Bulgaria,Aleksandar Dimitrov,2025-09-24,221.0
Croatia,Zlatko Dalić,2017-10-07,3130.0
Cyprus,Akis Mantzios,2025-01-09,479.0
Czech Republic,Miroslav Koubek,2025-12-19,135.0
Denmark,Brian Riemer,2024-10-24,556.0
England,Thomas Tuchel,2025-01-01,487.0
Estonia,Jürgen Henn,2024-05-15,718.0
Faroe Islands,Eyðun Klakstein,2025-02-17,440.0
Finland,Jacob Friis,2025-01-20,468.0
France,Didier Deschamps,2012-07-08,5047.0
Georgia,Willy Sagnol,2021-02-15,1903.0
Germany,Julian Nagelsmann,2023-09-22,954.0
Gibraltar,Scott Wiseman,2025-02-26,431.0
Greece,Ivan Jovanović,2024-06-11,691.0
Hungary,Marco Rossi,2018-06-19,2875.0
Iceland,Arnar Gunnlaugsson,2025-01-16,472.0
Israel,Ran Ben Shimon,2024-05-23,710.0
Italy,Silvio Baldini (caretaker),2026-04-10,23.0
Kazakhstan,Talgat Baysufinov,2026-01-28,95.0
Kosovo,Franco Foda,2024-02-17,806.0
Latvia,Paolo Nicolato,2024-02-05,818.0
Liechtenstein,Konrad Fünfstück,2023-06-01,1067.0
Lithuania,Edgaras Jankauskas,2023-01-30,1189.0
Luxembourg,Jeff Strasser,2025-08-19,257.0
Malta,Emilio De Leo,2025-01-13,475.0
Moldova,Lilian Popescu,2025-09-16,229.0
Montenegro,Mirko Vučinić,2025-09-19,226.0
Netherlands,Ronald Koeman,2023-01-23,1196.0
North Macedonia,Goce Sedloski,2025-12-22,132.0
Northern Ireland,Michael O'Neill,2022-12-07,1243.0
Norway,Ståle Solbakken,2020-12-07,1973.0
Poland,Jan Urban,2025-07-16,291.0
Portugal,Roberto Martínez,2023-01-09,1210.0
Republic of Ireland,Heimir Hallgrímsson,2024-07-10,662.0
Romania,Gheorghe Hagi,2026-04-20,13.0
Russia,Valery Karpin,2021-07-26,1742.0
San Marino,Roberto Cevoli,2023-12-15,870.0
Scotland,Steve Clarke,2019-05-20,2540.0
Serbia,Veljko Paunović,2025-10-30,185.0
Slovenia,Boštjan Cesar,2026-01-21,102.0
Spain,Luis de la Fuente,2022-12-08,1242.0
Sweden,Graham Potter,2025-10-20,195.0
Switzerland,Murat Yakin,2021-08-09,1728.0
Turkey,Vincenzo Montella,2023-09-27,949.0
Wales,Craig Bellamy,2024-07-09,663.0
